epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19570089876651764,0.0010000000474974513,1.9649157524108887,0.2839103937149048,1.8801240921020508
1,0.2281988561153412,0.0010000000474974513,1.8833914995193481,0.361303448677063,1.698175311088562
2,0.30511409044265747,0.0010000000474974513,1.7926115989685059,0.3413442075252533,1.7806206941604614
3,0.4129991829395294,0.0010000000474974513,1.6242023706436157,0.2920570373535156,1.7389240264892578
4,0.5165036916732788,0.0010000000474974513,1.4310078620910645,0.4635438024997711,1.4104276895523071
5,0.55949467420578,0.0010000000474974513,1.2964872121810913,0.5637474656105042,1.1191353797912598
6,0.6034026145935059,0.0010000000474974513,1.179831862449646,0.3824847340583801,1.7850743532180786
7,0.6350855827331543,0.0010000000474974513,1.0968927145004272,0.61995929479599,1.0809094905853271
8,0.6578035950660706,0.0010000000474974513,1.0309735536575317,0.637474536895752,1.0119438171386719
9,0.6779747605323792,0.0010000000474974513,0.9559231400489807,0.5596741437911987,1.3446555137634277
10,0.7016096115112305,0.0010000000474974513,0.882993757724762,0.4981670081615448,1.4642642736434937
11,0.7142420411109924,0.0010000000474974513,0.82456374168396,0.6419551968574524,1.0297166109085083
12,0.7223920226097107,0.0010000000474974513,0.7782862782478333,0.3470468521118164,2.3451900482177734
13,0.769559919834137,0.00010000000474974513,0.6154451370239258,0.771079421043396,0.6608031392097473
14,0.7976772785186768,0.00010000000474974513,0.5558758974075317,0.7462321519851685,0.7223758101463318
15,0.8062347173690796,0.00010000000474974513,0.5238882303237915,0.7613034844398499,0.6783456802368164
16,0.810513436794281,0.00010000000474974513,0.4951395094394684,0.7425661683082581,0.7153010368347168
17,0.8171352744102478,0.00010000000474974513,0.48510169982910156,0.7767820954322815,0.6669245362281799
18,0.819376528263092,1.0000000656873453e-05,0.4623372256755829,0.7698574066162109,0.6587287187576294
19,0.8322126865386963,1.0000000656873453e-05,0.4508070647716522,0.7727087736129761,0.6574723720550537
